locus_tag	ftype	length_bp	gene	EC_number	COG	product
POBNIBBE_00768	CDS	480				hypothetical protein
POBNIBBE_00769	CDS	471				hypothetical protein
POBNIBBE_00770	CDS	207				hypothetical protein
POBNIBBE_00771	CDS	348				hypothetical protein
POBNIBBE_00772	CDS	231				hypothetical protein
POBNIBBE_00773	CDS	273	rpsP			30S ribosomal protein S16
POBNIBBE_00774	CDS	1341	ffh		COG0541	Signal recognition particle protein
POBNIBBE_00775	CDS	333				hypothetical protein
POBNIBBE_00776	CDS	261	ftsY		COG0552	Signal recognition particle receptor FtsY
POBNIBBE_00777	CDS	630	upp	2.4.2.9		Uracil phosphoribosyltransferase
POBNIBBE_00778	CDS	1239	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
POBNIBBE_00779	CDS	414				hypothetical protein
POBNIBBE_00780	CDS	363	sdpI		COG5658	Immunity protein SdpI
POBNIBBE_00781	CDS	204				hypothetical protein
POBNIBBE_00782	CDS	183	sspH_1			Small, acid-soluble spore protein H
POBNIBBE_00783	CDS	270	bioF	2.3.1.47		8-amino-7-oxononanoate synthase
POBNIBBE_00784	tRNA	77				tRNA-Pro(ggg)
POBNIBBE_00785	CDS	462				hypothetical protein
POBNIBBE_00786	CDS	852				hypothetical protein
POBNIBBE_00787	CDS	570	kstR2_1			HTH-type transcriptional repressor KstR2
POBNIBBE_00788	CDS	261	fadD_2	6.2.1.3	COG0318	Long-chain-fatty-acid--CoA ligase
POBNIBBE_00789	CDS	603	bbsG	1.3.8.3		(R)-benzylsuccinyl-CoA dehydrogenase
POBNIBBE_00790	rRNA	112				5S ribosomal RNA
POBNIBBE_00791	CDS	990				hypothetical protein
POBNIBBE_00792	CDS	876	guaB_1	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
POBNIBBE_00793	CDS	819	ccsA			Cytochrome c biogenesis protein CcsA
POBNIBBE_00794	CDS	1365	hemA	1.2.1.70	COG0373	Glutamyl-tRNA reductase
POBNIBBE_00795	CDS	765	ywqE	3.1.3.48	COG4464	Tyrosine-protein phosphatase YwqE
POBNIBBE_00796	CDS	942	tagU_1	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
POBNIBBE_00797	CDS	237				hypothetical protein
POBNIBBE_00798	CDS	441	ppiB	5.2.1.8	COG0652	Peptidyl-prolyl cis-trans isomerase B
POBNIBBE_00799	CDS	318				hypothetical protein
POBNIBBE_00800	CDS	792	ypuA		COG4086	putative protein YpuA
POBNIBBE_00801	CDS	204				hypothetical protein
POBNIBBE_00802	CDS	300	lysA	4.1.1.20	COG0019	Diaminopimelate decarboxylase
POBNIBBE_00803	CDS	207				hypothetical protein
POBNIBBE_00804	CDS	792				hypothetical protein
POBNIBBE_00805	CDS	267				hypothetical protein
POBNIBBE_00806	CDS	453	lutC		COG1556	Lactate utilization protein C
POBNIBBE_00807	CDS	1515				hypothetical protein
POBNIBBE_00808	CDS	639		3.6.3.-	COG1131	Fluoroquinolones export ATP-binding protein
POBNIBBE_00809	CDS	147				hypothetical protein
POBNIBBE_00810	CDS	807	yitU	3.1.3.104	COG0561	5-amino-6-(5-phospho-D-ribitylamino)uracil phosphatase YitU
POBNIBBE_00811	CDS	153				hypothetical protein
POBNIBBE_00812	CDS	201				hypothetical protein
POBNIBBE_00813	CDS	609	degV		COG1307	Protein DegV
POBNIBBE_00814	CDS	750	prpC	3.1.3.16	COG0631	Protein phosphatase PrpC
POBNIBBE_00815	CDS	915	rlmN	2.1.1.192		putative dual-specificity RNA methyltransferase RlmN
POBNIBBE_00816	CDS	768				hypothetical protein
POBNIBBE_00817	CDS	492				hypothetical protein
POBNIBBE_00818	CDS	132				hypothetical protein
POBNIBBE_00819	CDS	390	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
POBNIBBE_00820	CDS	177				hypothetical protein
POBNIBBE_00821	CDS	486	tadA_1	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
POBNIBBE_00822	CDS	462				hypothetical protein
POBNIBBE_00823	CDS	573	resA_1			Thiol-disulfide oxidoreductase ResA
POBNIBBE_00824	CDS	390	btrG	4.3.2.6		Gamma-L-glutamyl-butirosin B gamma-glutamyl cyclotransferase
POBNIBBE_00825	CDS	93				hypothetical protein
POBNIBBE_00826	CDS	1896				hypothetical protein
POBNIBBE_00827	CDS	450	mhqR		COG1846	HTH-type transcriptional regulator MhqR
POBNIBBE_00828	CDS	366	zupT_1			Zinc transporter ZupT
POBNIBBE_00829	CDS	372	zupT_2			Zinc transporter ZupT
POBNIBBE_00830	CDS	543	mtnD	1.13.11.54	COG1791	Acireductone dioxygenase
POBNIBBE_00831	CDS	228	mtnB	4.2.1.109	COG0235	Methylthioribulose-1-phosphate dehydratase
POBNIBBE_00832	CDS	294				hypothetical protein
POBNIBBE_00833	CDS	777	fabI	1.3.1.9	COG0623	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI
POBNIBBE_00834	CDS	411				hypothetical protein
POBNIBBE_00835	CDS	768	ecfT		COG0619	Energy-coupling factor transporter transmembrane protein EcfT
POBNIBBE_00836	CDS	765	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
POBNIBBE_00837	CDS	438	rplM		COG0102	50S ribosomal protein L13
POBNIBBE_00838	CDS	720	sigE			RNA polymerase sigma-35 factor
POBNIBBE_00839	CDS	780	sigG		COG1191	RNA polymerase sigma-G factor
POBNIBBE_00840	CDS	243				hypothetical protein
POBNIBBE_00841	CDS	966	nplT_1	3.2.1.135		Neopullulanase
POBNIBBE_00842	CDS	1272	cycB		COG2182	Cyclodextrin-binding protein
POBNIBBE_00843	CDS	342	mrpC		COG1006	Na(+)/H(+) antiporter subunit C
POBNIBBE_00844	CDS	417	mrpB		COG2111	Na(+)/H(+) antiporter subunit B
POBNIBBE_00845	CDS	687	mrpA		COG1009	Na(+)/H(+) antiporter subunit A
POBNIBBE_00846	CDS	1110	pdhA_1	1.2.4.1		Pyruvate dehydrogenase E1 component subunit alpha
POBNIBBE_00847	CDS	555		3.5.1.88		Peptide deformylase 2
POBNIBBE_00848	CDS	897				hypothetical protein
POBNIBBE_00849	CDS	717				hypothetical protein
POBNIBBE_00850	CDS	2001	rapA_1	3.6.4.-		RNA polymerase-associated protein RapA
POBNIBBE_00851	CDS	285				hypothetical protein
POBNIBBE_00852	CDS	777	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
POBNIBBE_00853	CDS	948	prmA	2.1.1.-	COG2264	Ribosomal protein L11 methyltransferase
POBNIBBE_00854	CDS	390	dnaJ			Chaperone protein DnaJ
POBNIBBE_00855	CDS	579	nfo	3.1.21.2	COG0648	putative endonuclease 4
POBNIBBE_00856	CDS	261				hypothetical protein
POBNIBBE_00857	CDS	882				hypothetical protein
POBNIBBE_00858	CDS	819	glnH		COG0834	Glutamine-binding periplasmic protein
POBNIBBE_00859	CDS	657	yecS		COG0765	L-cystine transport system permease protein YecS
POBNIBBE_00860	CDS	687	pdhB_1	1.2.4.1		Pyruvate dehydrogenase E1 component subunit beta
POBNIBBE_00861	CDS	1287	pdhC	2.3.1.12		Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex
POBNIBBE_00862	CDS	780	gpr	1.1.1.-	COG0667	L-glyceraldehyde 3-phosphate reductase
POBNIBBE_00863	CDS	303				hypothetical protein
POBNIBBE_00864	CDS	504				hypothetical protein
POBNIBBE_00865	CDS	378	licH	3.2.1.86	COG1486	putative 6-phospho-beta-glucosidase
POBNIBBE_00866	CDS	855				hypothetical protein
POBNIBBE_00867	CDS	450				putative sugar-binding periplasmic protein
POBNIBBE_00868	CDS	156				hypothetical protein
POBNIBBE_00869	CDS	306	trxB	1.8.1.9	COG0492	Thioredoxin reductase
POBNIBBE_00870	CDS	468	nphA2	1.5.1.36		NADH-dependent flavin reductase
POBNIBBE_00871	CDS	213	dapH_1	2.3.1.89	COG2171	2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
POBNIBBE_00872	CDS	1134		3.5.1.47	COG1473	N-acetyldiaminopimelate deacetylase
POBNIBBE_00873	CDS	243				hypothetical protein
POBNIBBE_00874	CDS	825	amyX	3.2.1.41	COG1523	Pullulanase
POBNIBBE_00875	CDS	786				hypothetical protein
POBNIBBE_00876	CDS	270				hypothetical protein
POBNIBBE_00877	CDS	846	thyA	2.1.1.45	COG0207	Thymidylate synthase
POBNIBBE_00878	CDS	498	dfrA	1.5.1.3	COG0262	Dihydrofolate reductase
POBNIBBE_00879	CDS	444				hypothetical protein
POBNIBBE_00880	CDS	426	zur		COG0735	Zinc-specific metallo-regulatory protein
POBNIBBE_00881	CDS	567		3.1.3.-	COG5663	Nucleotidase
POBNIBBE_00882	CDS	348				hypothetical protein
POBNIBBE_00883	CDS	756	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
POBNIBBE_00884	CDS	279				hypothetical protein
POBNIBBE_00885	CDS	378	ytrA		COG1725	HTH-type transcriptional repressor YtrA
POBNIBBE_00886	CDS	900	ytrB		COG1131	ABC transporter ATP-binding protein YtrB
POBNIBBE_00887	CDS	501	tpx	1.11.1.15	COG2077	Thiol peroxidase
POBNIBBE_00888	CDS	990		2.1.1.72	COG0286	putative type I restriction enzymeP M protein
POBNIBBE_00889	CDS	129				hypothetical protein
POBNIBBE_00890	CDS	453	rimI	2.3.1.128	COG0456	Ribosomal-protein-alanine acetyltransferase
POBNIBBE_00891	CDS	741	tsaB		COG1214	tRNA threonylcarbamoyladenosine biosynthesis protein TsaB
POBNIBBE_00892	CDS	459	tsaE		COG0802	tRNA threonylcarbamoyladenosine biosynthesis protein TsaE
POBNIBBE_00893	rRNA	112				5S ribosomal RNA
POBNIBBE_00894	CDS	138				hypothetical protein
POBNIBBE_00895	CDS	216				hypothetical protein
POBNIBBE_00896	CDS	306	tnrA		COG0789	HTH-type transcriptional regulator TnrA
POBNIBBE_00897	CDS	576				hypothetical protein
POBNIBBE_00898	CDS	225				hypothetical protein
POBNIBBE_00899	CDS	738	tepA		COG0740	Translocation-enhancing protein TepA
POBNIBBE_00900	CDS	879	rnjB	3.1.-.-	COG0595	Ribonuclease J2
POBNIBBE_00901	CDS	438	fabZ	4.2.1.59		3-hydroxyacyl-[acyl-carrier-protein] dehydratase FabZ
POBNIBBE_00902	CDS	366				hypothetical protein
POBNIBBE_00903	CDS	744	ywqC		COG3944	putative capsular polysaccharide biosynthesis protein YwqC
POBNIBBE_00904	CDS	606				hypothetical protein
POBNIBBE_00905	CDS	1956	pcrA_2	3.6.4.12		ATP-dependent DNA helicase PcrA
POBNIBBE_00906	CDS	1296	spoIVB	3.4.21.116	COG0750	SpoIVB peptidase
POBNIBBE_00907	CDS	666	pheT_1	6.1.1.20		Phenylalanine--tRNA ligase beta subunit
POBNIBBE_00908	tRNA	73				tRNA-Glu(ttc)
POBNIBBE_00909	tRNA	93				tRNA-Ser(gct)
POBNIBBE_00910	tRNA	75				tRNA-Asn(gtt)
POBNIBBE_00911	tRNA	76				tRNA-Ile(gat)
POBNIBBE_00912	tRNA	71				tRNA-Gly(tcc)
POBNIBBE_00913	tRNA	74				tRNA-His(gtg)
POBNIBBE_00914	tRNA	76				tRNA-Thr(tgt)
POBNIBBE_00915	CDS	693	thiO	1.4.3.19		Glycine oxidase
POBNIBBE_00916	CDS	183				hypothetical protein
POBNIBBE_00917	CDS	555				hypothetical protein
POBNIBBE_00918	CDS	726	mqo1	1.1.5.4		putative malate:quinone oxidoreductase 1
POBNIBBE_00919	CDS	585	ruvA	3.6.4.12	COG0632	Holliday junction ATP-dependent DNA helicase RuvA
POBNIBBE_00920	CDS	477	bofC			Protein BofC
POBNIBBE_00921	CDS	144				hypothetical protein
POBNIBBE_00922	CDS	666			COG0217	putative transcriptional regulatory protein
POBNIBBE_00923	CDS	756	pdaA_2	3.5.1.-	COG0726	Peptidoglycan-N-acetylmuramic acid deacetylase PdaA
POBNIBBE_00924	CDS	606				hypothetical protein
POBNIBBE_00925	CDS	150				hypothetical protein
POBNIBBE_00926	CDS	243				hypothetical protein
POBNIBBE_00927	CDS	351				hypothetical protein
POBNIBBE_00928	CDS	1065	carA_1	6.3.5.5		Carbamoyl-phosphate synthase arginine-specific small chain
POBNIBBE_00929	CDS	108	argD	2.6.1.11		Acetylornithine/succinyldiaminopimelate aminotransferase
POBNIBBE_00930	CDS	615	citB	4.2.1.3	COG1048	Aconitate hydratase A
POBNIBBE_00931	CDS	138				hypothetical protein
POBNIBBE_00932	CDS	927				hypothetical protein
POBNIBBE_00933	CDS	1848	asnO	6.3.5.4	COG0367	Asparagine synthetase [glutamine-hydrolyzing] 3
POBNIBBE_00934	CDS	912				hypothetical protein
POBNIBBE_00935	CDS	756				Insertion sequence IS5376 putative ATP-binding protein
POBNIBBE_00936	CDS	366	aplIR_2	3.1.21.4		Type-2 restriction enzyme AplI
POBNIBBE_00937	CDS	1422				hypothetical protein
POBNIBBE_00938	CDS	459				hypothetical protein
POBNIBBE_00939	CDS	972	yfiY		COG0614	putative siderophore-binding lipoprotein YfiY
POBNIBBE_00940	CDS	369	hemL	5.4.3.8	COG0001	Glutamate-1-semialdehyde 2,1-aminomutase
POBNIBBE_00941	CDS	1047	spoVID			Stage VI sporulation protein D
POBNIBBE_00942	CDS	429				hypothetical protein
POBNIBBE_00943	CDS	162				hypothetical protein
POBNIBBE_00944	CDS	477	luxS	4.4.1.21	COG1854	S-ribosylhomocysteine lyase
POBNIBBE_00945	CDS	246	yidD		COG0759	Putative membrane protein insertion efficiency factor
POBNIBBE_00946	CDS	144				hypothetical protein
POBNIBBE_00947	CDS	1173	sacX		COG1263	Negative regulator of SacY activity
POBNIBBE_00948	CDS	141				hypothetical protein
POBNIBBE_00949	tRNA	75				tRNA-Ala(tgc)
POBNIBBE_00950	tRNA	74				tRNA-Pro(tgg)
POBNIBBE_00951	tRNA	76				tRNA-Arg(acg)
POBNIBBE_00952	tRNA	88				tRNA-Leu(taa)
POBNIBBE_00953	tRNA	75				tRNA-Gly(gcc)
POBNIBBE_00954	tRNA	76				tRNA-Lys(ttt)
POBNIBBE_00955	tRNA	76				tRNA-Thr(tgt)
POBNIBBE_00956	tRNA	76				tRNA-Phe(gaa)
POBNIBBE_00957	tRNA	76				tRNA-Asp(gtc)
POBNIBBE_00958	tRNA	77				tRNA-Met(cat)
POBNIBBE_00959	tRNA	76				tRNA-Val(tac)
POBNIBBE_00960	rRNA	112				5S ribosomal RNA
POBNIBBE_00961	CDS	594	dnaB		COG3611	Replication initiation and membrane attachment protein
POBNIBBE_00962	CDS	933	dnaI		COG1484	Primosomal protein DnaI
POBNIBBE_00963	CDS	657				hypothetical protein
POBNIBBE_00964	CDS	300	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
POBNIBBE_00965	CDS	1023	ybiT		COG0488	putative ABC transporter ATP-binding protein YbiT
POBNIBBE_00966	CDS	1185	pgk	2.7.2.3		Phosphoglycerate kinase
POBNIBBE_00967	CDS	402	gap	1.2.1.12		Glyceraldehyde-3-phosphate dehydrogenase
POBNIBBE_00968	CDS	1056				hypothetical protein
POBNIBBE_00969	CDS	741	bmr3			Multidrug resistance protein 3
POBNIBBE_00970	CDS	603				hypothetical protein
POBNIBBE_00971	CDS	930				hypothetical protein
POBNIBBE_00972	CDS	402				hypothetical protein
POBNIBBE_00973	CDS	741				hypothetical protein
POBNIBBE_00974	CDS	669				hypothetical protein
POBNIBBE_00975	CDS	237				hypothetical protein
POBNIBBE_00976	CDS	717				hypothetical protein
POBNIBBE_00977	CDS	1371				hypothetical protein
POBNIBBE_00978	CDS	564				hypothetical protein
POBNIBBE_00979	CDS	543				hypothetical protein
POBNIBBE_00980	CDS	267				hypothetical protein
POBNIBBE_00981	CDS	318				hypothetical protein
POBNIBBE_00982	CDS	513	potD		COG0687	Spermidine/putrescine-binding periplasmic protein
POBNIBBE_00983	CDS	435	spo0M_1		COG4326	Sporulation-control protein spo0M
POBNIBBE_00984	CDS	1263	sstT		COG3633	Serine/threonine transporter SstT
POBNIBBE_00985	CDS	255	bofA			Sigma-K factor-processing regulatory protein BofA
POBNIBBE_00986	CDS	225				hypothetical protein
POBNIBBE_00987	CDS	597	recR		COG0353	Recombination protein RecR
POBNIBBE_00988	CDS	327			COG0718	Nucleoid-associated protein
POBNIBBE_00989	CDS	321				hypothetical protein
POBNIBBE_00990	CDS	1548	rocA1	1.2.1.88	COG1012	1-pyrroline-5-carboxylate dehydrogenase 1
POBNIBBE_00991	CDS	597				hypothetical protein
POBNIBBE_00992	CDS	1059	wbpI	5.1.3.23	COG0381	UDP-2,3-diacetamido-2,3-dideoxy-D-glucuronate 2-epimerase
POBNIBBE_00993	CDS	561				hypothetical protein
POBNIBBE_00994	CDS	396	dinG	3.6.4.12	COG1199	putative ATP-dependent helicase DinG 
POBNIBBE_00995	CDS	339				hypothetical protein
POBNIBBE_00996	CDS	489	ypmB		COG5353	putative protein YpmB
POBNIBBE_00997	CDS	240				hypothetical protein
POBNIBBE_00998	CDS	594	leuD1	4.2.1.33	COG0066	3-isopropylmalate dehydratase small subunit 1
POBNIBBE_00999	CDS	963	leuC_2	4.2.1.33	COG0065	3-isopropylmalate dehydratase large subunit
POBNIBBE_01000	CDS	363	yvbW		COG1113	putative amino acid permease YvbW
POBNIBBE_01001	CDS	213				hypothetical protein
POBNIBBE_01002	CDS	567	ydhK			putative protein YdhK
POBNIBBE_01003	CDS	558	ydjZ		COG0398	TVP38/TMEM64 family inner membrane protein YdjZ
POBNIBBE_01004	CDS	816	agaA	3.2.1.22		Alpha-galactosidase AgaA
POBNIBBE_01005	CDS	783				hypothetical protein
POBNIBBE_01006	CDS	552	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
POBNIBBE_01007	CDS	750	misCA_2		COG0706	Membrane protein insertase MisCA
POBNIBBE_01008	CDS	717				hypothetical protein
POBNIBBE_01009	CDS	444	yusO			putative HTH-type transcriptional regulator YusO
POBNIBBE_01010	CDS	795	murI	5.1.1.3		Glutamate racemase
POBNIBBE_01011	CDS	540	yumC	1.18.1.2	COG0492	Ferredoxin--NADP reductase 2
POBNIBBE_01012	CDS	1215		1.6.99.-		NADH dehydrogenase-like protein
POBNIBBE_01013	CDS	2028	rapA_2	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
POBNIBBE_01014	CDS	534	yvyG			putative protein YvyG
POBNIBBE_01015	CDS	270				hypothetical protein
POBNIBBE_01016	CDS	414				hypothetical protein
POBNIBBE_01017	CDS	441				hypothetical protein
POBNIBBE_01018	CDS	264				hypothetical protein
POBNIBBE_01019	CDS	744				hypothetical protein
POBNIBBE_01020	CDS	855				hypothetical protein
POBNIBBE_01021	CDS	534				hypothetical protein
POBNIBBE_01022	CDS	792				hypothetical protein
POBNIBBE_01023	CDS	816				hypothetical protein
POBNIBBE_01024	CDS	222				hypothetical protein
POBNIBBE_01025	CDS	636	azoR2	1.7.-.-	COG1182	FMN-dependent NADH-azoreductase 2
POBNIBBE_01026	CDS	147				hypothetical protein
POBNIBBE_01027	CDS	147		1.1.1.38		NAD-dependent malic enzyme
POBNIBBE_01028	CDS	1056				hypothetical protein
POBNIBBE_01029	CDS	480	wecD	2.3.1.210		dTDP-fucosamine acetyltransferase
POBNIBBE_01030	CDS	354				hypothetical protein
POBNIBBE_01031	CDS	420	yccU		COG1832	putative protein YccU
POBNIBBE_01032	CDS	510				hypothetical protein
POBNIBBE_01033	CDS	477				hypothetical protein
POBNIBBE_01034	CDS	1404	smc_2		COG1196	Chromosome partition protein Smc
POBNIBBE_01035	CDS	693	fnr_2		COG0664	Anaerobic regulatory protein
POBNIBBE_01036	CDS	930	tagU_2	2.7.8.-	COG1316	Polyisoprenyl-teichoic acid--peptidoglycan teichoic acid transferase TagU
POBNIBBE_01037	CDS	204				hypothetical protein
POBNIBBE_01038	CDS	441				hypothetical protein
POBNIBBE_01039	CDS	282	gerXA			Spore germination protein XA
POBNIBBE_01040	CDS	1149	gerAC			Spore germination protein A3
POBNIBBE_01041	CDS	186				hypothetical protein
POBNIBBE_01042	CDS	318				hypothetical protein
POBNIBBE_01043	CDS	156	dgkA	2.7.1.107	COG0818	Diacylglycerol kinase
POBNIBBE_01044	CDS	399	cdd	3.5.4.5	COG0295	Cytidine deaminase
POBNIBBE_01045	CDS	909	era		COG1159	GTPase Era
POBNIBBE_01046	CDS	144				hypothetical protein
POBNIBBE_01047	CDS	1068	valS	6.1.1.9		Valine--tRNA ligase
POBNIBBE_01048	CDS	735	nplT_2	3.2.1.135		Neopullulanase
POBNIBBE_01049	CDS	861	adaA	2.1.1.-	COG2169	Bifunctional transcriptional activator/DNA repair enzyme AdaA
POBNIBBE_01050	CDS	246	mdtK			Multidrug resistance protein MdtK
POBNIBBE_01051	CDS	510				hypothetical protein
POBNIBBE_01052	CDS	411	immR		COG1396	HTH-type transcriptional regulator ImmR
POBNIBBE_01053	CDS	360	ssbB		COG0629	Single-stranded DNA-binding protein B
POBNIBBE_01054	CDS	744	fabG_1	1.1.1.100		3-oxoacyl-[acyl-carrier-protein] reductase FabG
POBNIBBE_01055	CDS	234	acpA		COG0236	Acyl carrier protein
POBNIBBE_01056	CDS	741	rnc	3.1.26.3	COG0571	Ribonuclease 3
POBNIBBE_01057	CDS	804	nadK	2.7.1.23		NAD kinase
POBNIBBE_01058	CDS	1008	sppA	3.4.21.-	COG0616	Putative signal peptide peptidase SppA
POBNIBBE_01059	CDS	189				hypothetical protein
POBNIBBE_01060	CDS	654	fadR_1			Fatty acid metabolism regulator protein
POBNIBBE_01061	CDS	420				hypothetical protein
POBNIBBE_01062	CDS	408				hypothetical protein
POBNIBBE_01063	CDS	288				hypothetical protein
POBNIBBE_01064	CDS	1071				hypothetical protein
POBNIBBE_01065	CDS	204				hypothetical protein
POBNIBBE_01066	CDS	534				hypothetical protein
POBNIBBE_01067	CDS	144	dppC		COG1173	Dipeptide transport system permease protein DppC
POBNIBBE_01068	CDS	786				hypothetical protein
POBNIBBE_01069	CDS	1308	polA	2.7.7.7		DNA polymerase I
POBNIBBE_01070	CDS	393				hypothetical protein
POBNIBBE_01071	CDS	1509	ywiE	2.7.8.-	COG1502	putative cardiolipin synthase YwiE
POBNIBBE_01072	CDS	660				hypothetical protein
POBNIBBE_01073	CDS	294				hypothetical protein
POBNIBBE_01074	CDS	381				hypothetical protein
POBNIBBE_01075	CDS	909				hypothetical protein
POBNIBBE_01076	CDS	822	tgl	2.3.2.13		Protein-glutamine gamma-glutamyltransferase
POBNIBBE_01077	CDS	1917	secA_1		COG0653	Protein translocase subunit SecA
POBNIBBE_01078	CDS	744				hypothetical protein
POBNIBBE_01079	CDS	963			COG1702	PhoH-like protein
POBNIBBE_01080	CDS	291	pgpH	3.1.4.-		Cyclic-di-AMP phosphodiesterase PgpH
POBNIBBE_01081	CDS	864				hypothetical protein
POBNIBBE_01082	CDS	645	queG	1.17.99.6	COG1600	Epoxyqueuosine reductase
POBNIBBE_01083	CDS	1374	rlmCD	2.1.1.189	COG2265	23S rRNA (uracil-C(5))-methyltransferase RlmCD
POBNIBBE_01084	CDS	243				hypothetical protein
POBNIBBE_01085	CDS	177				hypothetical protein
POBNIBBE_01086	CDS	129				hypothetical protein
POBNIBBE_01087	CDS	165				hypothetical protein
POBNIBBE_01088	CDS	423	doc_1		COG3654	Toxin Doc
POBNIBBE_01089	CDS	282				hypothetical protein
POBNIBBE_01090	CDS	222				hypothetical protein
POBNIBBE_01091	CDS	300				hypothetical protein
POBNIBBE_01092	CDS	459				hypothetical protein
POBNIBBE_01093	CDS	519	smc_3			Chromosome partition protein Smc
POBNIBBE_01094	CDS	720	yclQ		COG4607	putative ABC transporter solute-binding protein YclQ
POBNIBBE_01095	CDS	648	ppm1	2.4.1.-		Polyprenol monophosphomannose synthase
POBNIBBE_01096	CDS	762				hypothetical protein
POBNIBBE_01097	CDS	441				hypothetical protein
POBNIBBE_01098	CDS	1254				hypothetical protein
POBNIBBE_01099	CDS	801				hypothetical protein
POBNIBBE_01100	CDS	297				hypothetical protein
POBNIBBE_01101	CDS	339	gtaB_1	2.7.7.9	COG1210	UTP--glucose-1-phosphate uridylyltransferase
POBNIBBE_01102	CDS	177				hypothetical protein
POBNIBBE_01103	CDS	489			COG2110	putative protein
POBNIBBE_01104	CDS	594				hypothetical protein
POBNIBBE_01105	CDS	309	glpD	1.1.5.3	COG0578	Aerobic glycerol-3-phosphate dehydrogenase
POBNIBBE_01106	CDS	1056	lacR_2		COG1609	HTH-type transcriptional regulator LacR
POBNIBBE_01107	CDS	216				hypothetical protein
POBNIBBE_01108	CDS	186				hypothetical protein
POBNIBBE_01109	CDS	510				hypothetical protein
POBNIBBE_01110	CDS	312				hypothetical protein
POBNIBBE_01111	CDS	207	cysL		COG0583	HTH-type transcriptional regulator CysL
POBNIBBE_01112	CDS	930	czcD_2		COG1230	Cadmium, cobalt and zinc/H(+)-K(+) antiporter
POBNIBBE_01113	CDS	312	czrA		COG0640	HTH-type transcriptional repressor CzrA
POBNIBBE_01114	CDS	174				hypothetical protein
POBNIBBE_01115	CDS	318				hypothetical protein
POBNIBBE_01116	CDS	429	smc_4			Chromosome partition protein Smc
POBNIBBE_01117	CDS	141				hypothetical protein
POBNIBBE_01118	CDS	255				hypothetical protein
POBNIBBE_01119	CDS	516	feoB_1		COG0370	Fe(2+) transporter FeoB
POBNIBBE_01120	CDS	426				hypothetical protein
POBNIBBE_01121	CDS	636				hypothetical protein
POBNIBBE_01122	CDS	369	mrpG		COG1320	Na(+)/H(+) antiporter subunit G
POBNIBBE_01123	CDS	279	mrpF		COG2212	Na(+)/H(+) antiporter subunit F
POBNIBBE_01124	CDS	477	mrpE		COG1863	Na(+)/H(+) antiporter subunit E
POBNIBBE_01125	CDS	450	mnhD1		COG0651	Na(+)/H(+) antiporter subunit D1
POBNIBBE_01126	CDS	363				hypothetical protein
POBNIBBE_01127	CDS	822	rapA_3	3.6.4.-	COG0553	RNA polymerase-associated protein RapA
POBNIBBE_01128	CDS	552	rsuA	5.4.99.19	COG1187	Ribosomal small subunit pseudouridine synthase A
POBNIBBE_01129	CDS	201	ytzE		COG1349	putative HTH-type transcriptional regulator YtzE
POBNIBBE_01130	CDS	393				hypothetical protein
POBNIBBE_01131	CDS	885	putR			Proline-responsive transcriptional activator PutR
POBNIBBE_01132	CDS	171	dmlA	1.1.1.83	COG0473	D-malate dehydrogenase [decarboxylating]
POBNIBBE_01133	CDS	882				hypothetical protein
POBNIBBE_01134	CDS	285				hypothetical protein
POBNIBBE_01135	CDS	216				hypothetical protein
POBNIBBE_01136	CDS	672				hypothetical protein
POBNIBBE_01137	CDS	270				hypothetical protein
POBNIBBE_01138	CDS	234				hypothetical protein
POBNIBBE_01139	CDS	792	modA		COG0725	Molybdate-binding protein ModA
POBNIBBE_01140	CDS	195	fnr_3		COG0664	Anaerobic regulatory protein
POBNIBBE_01141	CDS	1014	adhT	1.1.1.1		Alcohol dehydrogenase
POBNIBBE_01142	CDS	690	moaA	4.1.99.22	COG2896	GTP 3',8-cyclase
POBNIBBE_01143	CDS	708	scdA		COG2846	Iron-sulfur cluster repair protein ScdA
POBNIBBE_01144	CDS	1350	yheD_1			Endospore coat-associated protein YheD
POBNIBBE_01145	CDS	561	yheD_2			Endospore coat-associated protein YheD
POBNIBBE_01146	CDS	306				hypothetical protein
POBNIBBE_01147	CDS	495				hypothetical protein
POBNIBBE_01148	CDS	927				hypothetical protein
POBNIBBE_01149	CDS	450				hypothetical protein
POBNIBBE_01150	CDS	930	bepA	3.4.-.-		Beta-barrel assembly-enhancing protease
POBNIBBE_01151	CDS	249				hypothetical protein
